Player,Squad,mf_post,mf_role,cm_role,Rk,Nation,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Unnamed: 38,Gls.2,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK.1,PKatt.1,xG.2,npxG.2,npxG/Sh,G-xG,np:G-xG,Unnamed: 56,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Pass_Short_Cmp,Pass_Short_Att,Pass_Short_Cmp%,Pass_Med_Cmp,Pass_Med_Att,Pass_Med_Cmp%,Pass_Long_Cmp,Pass_Long_Att,Pass_Long_Cmp%,Ast.2,xAG.2,xA,A-xAG,KP,FinalThird_Pass,PPA,CrsPA,PrgP.1,Unnamed: 80,PassType_Att,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Switch,Pass_Cross,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Straight,Pass_Cmp.1,Pass_Offside,Pass_Blocked,Unnamed: 96,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_Def,Unnamed: 113,Tackles,Tackles_Won,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks_Total,Shots_Blocked,Passes_Blocked,Interceptions,Tackles_Interceptions,Clearances,Errors_LeadingShot,Unnamed: 130,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TakeOn_Att,TakeOn_Succ,TakeOn_Succ%,TakeOn_Tackled,TakeOn_Tackled%,Carries,Carry_TotDist,Carry_PrgDist,PrgC.1,Carry_FinalThird,Carry_PenArea,Miscontrols,Dispossessed,Rec,PrgR.1,Unnamed: 153,CrdY.1,CrdR.1,2CrdY,Fls,Fld,Offsides,Crs,Interceptions.1,Tackles_Won.1,PKwon,PKcon,OG,Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won%,Min_num,minutes_flag,mf_post_score_raw,mf_post_rating_0100,mf_role_score_raw,mf_role_rating_0100,mf_role_rating_shrunk_0100,n_post,n_role,role_sample_flag
Shumaira Mheuka,chelsea,AM,AM_CLASSIC_10,,157,eng ENG,MF,16.0,2007.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,5.06,5.06,MF,0.0,1.0,1.0,100.0,90.0,90.0,0.0,0.0,7.2,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1,LOW_MIN,-0.789232557962694,14.0625,-0.6712046903801004,16.071428571428573,15.542763157894738,32.0,28.0,OK
Enzo Fernández,chelsea,AM,AM_ORGANIZER,,159,ar ARG,MF,23.0,2001.0,36,32,2947,32.7,0.18,0.21,0.4,0.18,0.0,0.0,0.24,0.0,0.19,0.19,0.21,0.39,1.83,6.48,3.85,0.18,0.21,0.4,0.18,0.4,0.19,0.21,0.39,0.19,0.39,MF,0.18,1.62,0.61,37.7,1.62,0.61,0.11,0.3,18.1,0.06,0.0,0.0,0.19,0.19,0.11,-0.0,-0.0,,46.4,58.1,79.9,818.8,229.7,21.4,24.1,88.7,19.1,22.5,84.9,4.8,8.35,57.5,0.21,0.21,0.19,0.01,2.35,5.11,1.25,0.21,6.48,,58.1,53.7,4.1,1.62,0.43,0.8,3.33,0.12,2.26,1.35,0.37,0.03,46.4,0.28,1.41,,4.5,4.49,3.55,0.49,0.06,0.12,0.12,0.15,0.49,0.49,0.4,0.06,0.0,0.03,0.0,0.0,,1.99,1.01,0.52,0.92,0.55,0.95,2.57,36.9,1.62,1.31,0.21,1.1,0.4,2.39,0.7,0.12,,67.6,1.13,10.6,34.5,23.0,2.48,67.6,1.68,0.8,47.3,0.64,38.2,37.0,172.8,83.6,1.83,1.68,0.28,0.89,0.86,49.6,3.85,,0.24,0.0,0.0,1.59,1.65,0.06,3.33,0.4,1.01,0.0,0.0,0.0,4.77,0.43,0.89,32.6,2947,OK,0.7517788866600188,81.25,-0.6876497608763354,25.0,65.17857142857143,32.0,4.0,LOW_SAMPLE
Mathis Amougou,chelsea,AM,AM_CLASSIC_10,,160,fr FRA,MF,18.0,2006.0,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,70.0,70.0,100.0,690.0,300.0,60.0,60.0,100.0,10.0,10.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,10.0,20.0,40.0,30.0,0.0,90.0,0.0,0.0,,0.0,,70.0,250.0,50.0,0.0,10.0,0.0,0.0,10.0,60.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,,8,LOW_MIN,-0.789232557962694,14.0625,-0.6712046903801004,16.071428571428573,15.542763157894738,32.0,28.0,OK
Roméo Lavia,chelsea,DM,DM_CONTROLLER,,158,be BEL,MF,20.0,2004.0,16,11,797,8.9,0.0,0.11,0.11,0.0,0.0,0.0,0.45,0.0,0.03,0.03,0.08,0.11,0.34,3.48,0.79,0.0,0.11,0.11,0.0,0.11,0.03,0.08,0.11,0.03,0.11,MF,0.0,0.22,0.0,0.0,0.23,0.0,0.0,,18.8,0.0,0.0,0.0,0.03,0.03,0.13,-0.03,-0.03,,43.7,47.6,91.7,736.2,190.1,20.1,21.9,91.8,20.7,21.8,94.8,2.36,2.81,84.0,0.11,0.08,0.04,0.03,0.79,5.51,0.34,0.0,3.48,,47.6,47.1,0.34,0.34,0.34,0.34,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.22,0.11,,1.57,1.58,1.46,0.0,0.0,0.0,0.0,0.11,0.22,0.23,0.22,0.0,0.0,0.0,0.0,0.0,,2.47,1.46,0.56,1.46,0.45,1.12,2.36,47.6,1.24,0.67,0.0,0.67,1.8,4.27,1.12,0.11,,55.4,1.91,12.2,35.8,7.98,0.11,55.4,1.8,1.12,62.5,0.67,37.5,33.1,154.3,63.7,0.34,1.01,0.0,0.34,0.79,40.3,0.79,,0.45,0.0,0.0,1.8,0.79,0.0,0.0,1.8,1.46,0.0,0.11,0.0,4.49,1.35,0.67,66.7,797,OK,-0.10174052885712573,41.935483870967744,-0.06918702803099941,48.275862068965516,46.650124069478906,62.0,29.0,OK
Adam Wharton,crystal palace,DM,DM_DEEP_CM,,187,eng ENG,MF,20.0,2004.0,20,16,1318,14.6,0.0,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.03,0.03,0.21,0.23,0.96,7.33,0.75,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23,MF,0.0,0.89,0.34,38.5,0.89,0.34,0.0,0.0,25.4,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03,,37.5,49.7,75.6,703.5,258.9,14.2,17.3,82.5,17.7,22.1,80.1,4.79,7.33,65.4,0.14,0.21,0.15,-0.07,1.78,5.34,1.23,0.34,7.33,,49.7,46.4,2.74,0.96,0.34,0.07,2.67,0.0,1.78,1.3,0.07,0.0,37.5,0.48,0.82,,4.04,4.03,3.08,0.75,0.0,0.14,0.0,0.07,0.41,0.41,0.27,0.14,0.0,0.0,0.0,0.0,,2.33,0.96,0.96,1.1,0.27,1.16,3.01,38.6,1.85,0.75,0.14,0.62,1.37,3.7,1.85,0.0,,59.7,2.05,14.0,31.7,14.5,0.75,59.7,0.68,0.14,20.0,0.55,80.0,29.5,137.9,73.8,0.96,1.58,0.14,1.16,0.89,36.5,0.75,,0.14,0.0,0.0,0.82,1.44,0.0,2.67,1.37,0.96,0.0,0.0,0.0,6.99,0.48,1.1,30.4,1318,OK,0.7820726169320472,93.54838709677419,0.46933126649706136,94.44444444444444,94.12442396313364,62.0,18.0,OK
Daichi Kamada,crystal palace,DM,DM_DEEP_CM,,189,jp JPN,MF,27.0,1996.0,34,15,1564,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.06,0.06,0.06,0.11,0.17,1.44,5.11,3.22,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.17,0.06,0.17,MF,0.0,1.15,0.23,20.0,1.15,0.23,0.0,0.0,20.3,0.0,0.0,0.0,0.06,0.06,0.05,-0.06,-0.06,,34.7,43.2,80.2,561.6,152.0,18.2,20.7,88.1,13.4,16.1,83.2,2.18,3.56,61.3,0.0,0.11,0.09,-0.11,1.15,2.76,0.8,0.17,5.11,,43.2,41.4,1.78,0.63,0.23,0.29,1.78,0.11,0.92,0.63,0.06,0.0,34.7,0.06,1.03,,2.99,2.99,2.13,0.34,0.06,0.17,0.11,0.17,0.17,0.17,0.11,0.06,0.0,0.0,0.0,0.0,,2.7,1.67,1.09,1.38,0.23,0.8,2.36,34.1,1.55,1.26,0.29,0.98,1.03,3.74,0.8,0.0,,53.9,1.09,12.0,28.5,13.8,1.84,53.9,1.09,0.4,36.8,0.52,47.4,27.9,131.9,64.4,1.44,1.09,0.34,0.92,1.15,34.5,3.22,,0.23,0.06,0.0,1.61,1.21,0.11,1.78,1.03,1.67,0.0,0.0,0.0,5.11,0.23,0.75,23.5,1564,OK,0.31338751076110755,72.58064516129032,-0.22793494378204945,38.88888888888889,50.92165898617512,62.0,18.0,OK
Will Hughes,crystal palace,DM,DM_DEEP_CM,,190,eng ENG,MF,29.0,1995.0,33,24,2108,23.4,0.0,0.13,0.13,0.0,0.0,0.0,0.47,0.0,0.05,0.05,0.13,0.18,0.85,3.72,1.15,0.0,0.13,0.13,0.0,0.13,0.05,0.13,0.18,0.05,0.18,MF,0.0,0.94,0.04,4.5,0.94,0.04,0.0,0.0,22.3,0.0,0.0,0.0,0.05,0.05,0.05,-0.05,-0.05,,31.5,41.5,76.0,499.5,176.6,15.9,18.1,88.0,12.3,14.9,82.5,2.05,5.51,37.2,0.13,0.13,0.11,-0.0,1.41,3.25,0.64,0.13,3.72,,41.5,36.6,4.53,1.45,0.04,0.09,3.03,0.04,2.31,1.75,0.09,0.0,31.5,0.34,0.47,,2.86,2.86,1.79,0.73,0.04,0.09,0.21,0.0,0.26,0.26,0.09,0.13,0.0,0.04,0.0,0.0,,2.82,1.54,0.85,1.41,0.56,1.2,2.65,45.2,1.45,1.32,0.6,0.73,0.94,3.76,1.2,0.13,,51.4,2.05,12.6,26.3,13.2,0.73,51.4,0.68,0.21,31.3,0.3,43.8,22.7,116.2,54.5,0.85,1.03,0.04,0.9,1.28,28.2,1.15,,0.47,0.0,0.0,2.78,1.32,0.0,3.03,0.94,1.54,0.0,0.04,0.0,5.17,0.81,0.77,51.4,2108,OK,0.012652109535427794,58.06451612903226,-0.6280204079217284,5.555555555555555,24.308755760368665,62.0,18.0,OK
Asher Agbinone,crystal palace,AM,AM_CLASSIC_10,,194,eng ENG,MF,18.0,2005.0,2,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,MF,0.0,10.0,0.0,0.0,15.0,0.0,0.0,,26.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,20.0,30.0,66.7,320.0,0.0,10.0,10.0,100.0,10.0,20.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,30.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,,10.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,10.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,,80.0,0.0,0.0,20.0,60.0,0.0,80.0,20.0,0.0,0.0,10.0,50.0,50.0,530.0,230.0,20.0,0.0,0.0,0.0,10.0,50.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6,LOW_MIN,-0.6885312316414742,32.8125,-0.5733535242102503,37.5,36.266447368421055,32.0,28.0,OK
Romain Esse,crystal palace,AM,AM_CLASSIC_10,,191,eng ENG,MF,19.0,2005.0,7,1,138,1.5,0.67,0.67,1.33,0.67,0.0,0.0,0.0,0.0,0.2,0.2,0.27,0.47,0.67,4.67,9.33,0.65,0.65,1.3,0.65,1.3,0.21,0.27,0.48,0.21,0.48,MF,0.67,0.67,0.67,100.0,0.65,0.65,1.0,1.0,2.8,0.0,0.0,0.0,0.2,0.2,0.32,0.47,0.47,,21.3,28.0,76.2,316.7,134.7,13.3,15.3,87.0,6.67,9.33,71.4,1.33,2.67,50.0,0.67,0.27,0.27,0.4,2.0,1.33,0.67,0.0,4.67,,28.0,28.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.67,,5.33,5.18,4.0,0.0,0.67,0.0,0.67,0.0,2.0,1.94,0.67,0.0,0.67,0.0,0.67,0.0,,6.0,4.0,2.67,2.0,1.33,3.33,3.33,100.0,0.0,1.33,0.0,1.33,0.67,6.67,1.33,0.0,,48.7,0.67,9.33,20.0,19.3,6.0,48.7,4.0,1.33,33.3,2.67,66.7,25.3,80.7,32.7,0.67,0.67,1.33,4.0,1.33,28.7,9.33,,0.0,0.0,0.0,1.33,2.0,0.0,0.0,0.67,4.0,0.0,0.0,0.0,6.0,2.0,1.33,60.0,138,LOW_MIN,0.8491800958108461,84.375,1.0985730924665167,92.85714285714286,90.625,32.0,28.0,OK
Cheick Doucouré,crystal palace,DM,DM_CONTROLLER,,192,ml MLI,MF,24.0,2000.0,13,4,452,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.08,0.08,0.0,0.08,0.4,3.8,1.4,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,MF,0.0,1.4,0.0,0.0,1.39,0.0,0.0,,20.6,0.0,0.0,0.0,0.08,0.08,0.06,-0.08,-0.08,,34.8,40.8,85.3,581.8,164.6,16.8,18.8,89.4,14.0,15.6,89.7,3.2,4.0,80.0,0.0,0.0,0.02,0.0,0.2,3.4,0.6,0.0,3.8,,40.8,40.2,0.6,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,34.8,0.0,0.8,,1.8,1.79,1.0,0.0,0.0,0.4,0.2,0.2,0.6,0.6,0.2,0.0,0.0,0.2,0.2,0.0,,3.2,1.6,1.2,1.6,0.4,1.0,2.2,45.5,1.2,0.8,0.0,0.8,2.2,5.4,2.0,0.2,,52.6,2.2,11.2,33.0,9.0,0.8,52.6,1.0,0.4,40.0,0.4,40.0,26.6,116.2,56.0,0.4,1.4,0.2,0.8,1.4,32.0,1.4,,0.2,0.0,0.0,1.4,1.4,0.0,0.2,2.2,1.6,0.0,0.0,0.0,6.2,1.0,1.0,50.0,452,LOW_MIN,-0.16180156376537264,37.096774193548384,-0.08908578081535841,41.37931034482759,40.281224152191896,62.0,29.0,OK
Justin Devenny,crystal palace,DM,DM_DESTROYER,,193,nir NIR,MF,20.0,2003.0,23,4,507,5.6,0.18,0.18,0.36,0.18,0.0,0.0,0.18,0.0,0.14,0.14,0.11,0.25,0.89,3.75,2.32,0.18,0.18,0.36,0.18,0.36,0.14,0.11,0.25,0.14,0.25,MF,0.18,1.79,1.07,60.0,1.78,1.07,0.1,0.17,21.1,0.18,0.0,0.0,0.14,0.14,0.08,0.04,0.04,,26.4,36.6,72.2,434.5,130.4,13.8,17.0,81.1,9.11,12.7,71.8,2.5,5.18,48.3,0.18,0.11,0.07,0.07,1.25,3.93,0.71,0.18,3.75,,36.6,32.9,3.39,1.25,0.18,0.18,3.04,0.0,1.61,0.71,0.71,0.0,26.4,0.36,0.36,,2.68,2.66,2.14,0.36,0.0,0.18,0.0,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,,3.04,2.14,1.25,1.61,0.18,1.43,3.39,42.1,1.96,1.07,0.18,0.89,0.0,3.04,1.96,0.0,,49.8,1.43,9.46,26.6,14.8,1.43,49.8,0.71,0.36,50.0,0.36,50.0,23.9,125.2,59.5,0.89,0.89,0.18,3.04,0.54,29.8,2.32,,0.18,0.0,0.0,1.43,0.0,0.18,3.04,0.0,2.14,0.0,0.0,0.0,4.82,0.36,2.32,13.3,507,LOW_MIN,-0.10171142539518238,43.54838709677419,0.3166807151876361,86.66666666666667,69.41935483870968,62.0,15.0,OK
Orel Mangala,everton,DM,DM_DESTROYER,,212,be BEL,MF,26.0,1998.0,19,14,1261,14.0,0.07,0.0,0.07,0.07,0.0,0.0,0.14,0.0,0.08,0.08,0.04,0.13,0.43,2.43,1.36,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,MF,0.07,1.14,0.43,37.5,1.14,0.43,0.06,0.17,22.1,0.0,0.0,0.0,0.08,0.08,0.07,-0.01,-0.01,,31.2,35.0,89.2,499.9,111.9,15.6,17.3,90.5,13.4,14.1,94.9,1.64,2.14,76.7,0.0,0.04,0.04,-0.04,0.57,3.57,0.57,0.07,2.43,,35.0,34.6,0.29,0.21,0.0,0.07,0.43,0.0,0.0,0.0,0.0,0.0,31.2,0.07,0.71,,1.71,1.72,1.21,0.07,0.14,0.21,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.07,0.0,,1.14,0.57,0.21,0.79,0.14,0.36,0.57,62.5,0.21,0.57,0.21,0.36,1.5,2.64,1.71,0.07,,44.4,1.57,9.5,23.9,11.2,0.93,44.4,1.71,1.0,58.3,0.64,37.5,21.3,112.4,41.1,0.43,0.43,0.21,0.86,0.86,29.0,1.36,,0.14,0.0,0.0,1.71,1.21,0.14,0.43,1.5,0.57,0.0,0.0,0.0,3.5,0.43,0.57,42.9,1261,OK,-0.5026782909965094,11.29032258064516,-0.18666438498189108,20.0,16.516129032258064,62.0,15.0,OK
Abdoulaye Doucouré,everton,DM,DM_DESTROYER,,215,ml MLI,MF,31.0,1993.0,33,31,2564,28.5,0.11,0.07,0.18,0.11,0.0,0.0,0.18,0.04,0.14,0.14,0.08,0.23,1.47,2.88,3.37,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,MF,0.11,1.09,0.32,29.0,1.09,0.32,0.1,0.33,14.0,0.0,0.0,0.0,0.14,0.14,0.13,-0.04,-0.04,,25.4,31.7,80.3,382.8,79.1,13.4,15.6,85.7,9.23,11.1,83.2,1.54,2.11,73.3,0.07,0.08,0.05,-0.01,0.98,1.54,0.53,0.0,2.88,,31.7,31.0,0.49,0.18,0.0,0.07,0.81,0.0,0.0,0.0,0.0,0.0,25.4,0.18,0.95,,2.04,2.04,1.82,0.0,0.11,0.07,0.0,0.04,0.11,0.11,0.07,0.0,0.0,0.0,0.0,0.04,,1.68,0.98,0.74,0.7,0.25,0.49,1.51,32.6,1.02,1.09,0.21,0.88,0.35,2.04,0.7,0.04,,40.7,1.12,7.89,18.9,14.5,2.28,40.7,1.58,0.84,53.3,0.74,46.7,21.2,103.6,49.0,1.47,0.91,0.28,1.33,1.33,26.3,3.37,,0.18,0.04,0.04,1.72,0.18,0.35,0.81,0.35,0.98,0.0,0.0,0.0,5.26,1.05,1.54,40.5,2564,OK,-0.2797037394830652,24.193548387096776,0.0869025093288536,73.33333333333333,53.677419354838705,62.0,15.0,OK
Idrissa Gana Gueye,everton,DM,DM_CONTROLLER,,214,sn SEN,MF,34.0,1989.0,37,35,3063,34.0,0.0,0.09,0.09,0.0,0.0,0.0,0.26,0.0,0.03,0.03,0.05,0.08,0.79,4.26,0.79,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.08,0.03,0.08,MF,0.0,0.79,0.15,18.5,0.79,0.15,0.0,0.0,25.2,0.0,0.0,0.0,0.03,0.03,0.04,-0.03,-0.03,,36.2,41.8,86.5,611.1,167.1,17.9,19.6,91.0,14.7,16.2,90.4,3.06,4.24,72.2,0.09,0.05,0.06,0.04,0.56,4.53,0.29,0.09,4.26,,41.8,40.8,0.79,0.21,0.06,0.21,0.21,0.21,0.0,0.0,0.0,0.0,36.2,0.21,0.65,,1.76,1.76,1.53,0.0,0.03,0.06,0.09,0.06,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,,3.91,2.35,1.79,1.62,0.5,1.71,2.91,58.6,1.21,1.41,0.26,1.15,1.41,5.32,1.06,0.03,,53.0,2.12,12.7,30.7,9.88,0.62,53.0,1.15,0.53,46.2,0.56,48.7,25.3,119.0,51.5,0.79,0.79,0.12,0.94,1.12,30.8,0.79,,0.26,0.0,0.0,1.62,1.35,0.0,0.21,1.41,2.35,0.0,0.0,0.0,5.71,0.71,0.44,61.5,3063,OK,-0.2172467443315495,32.25806451612903,-0.13706200980711744,31.03448275862069,31.348221670802317,62.0,29.0,OK
Harrison Armstrong,everton,AM,AM_CLASSIC_10,,216,eng ENG,MF,17.0,2007.0,3,0,48,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.2,0.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,MF,0.0,2.0,0.0,0.0,1.87,0.0,0.0,,5.8,0.0,0.0,0.0,0.8,0.8,0.37,-0.8,-0.8,,14.0,30.0,46.7,298.0,30.0,6.0,8.0,75.0,4.0,10.0,40.0,4.0,8.0,50.0,0.0,0.2,0.0,-0.2,2.0,2.0,0.0,0.0,2.0,,30.0,26.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,,2.0,1.87,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,40.0,0.0,6.0,24.0,14.0,4.0,40.0,2.0,2.0,100.0,0.0,0.0,30.0,220.0,86.0,2.0,4.0,0.0,4.0,6.0,28.0,0.0,,2.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,48,LOW_MIN,-0.07433546807362074,46.875,0.07218987564100726,53.57142857142857,51.809210526315795,32.0,28.0,OK
Tim Iroegbunam,everton,DM,DM_CONTROLLER,,213,eng ENG,MF,21.0,2003.0,18,5,574,6.4,0.0,0.16,0.16,0.0,0.0,0.0,0.63,0.0,0.03,0.03,0.03,0.06,1.25,2.34,1.41,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07,MF,0.0,0.78,0.0,0.0,0.78,0.0,0.0,,22.5,0.0,0.0,0.0,0.03,0.03,0.05,-0.03,-0.03,,18.0,24.7,72.8,300.2,97.0,8.44,11.4,74.0,6.56,7.81,84.0,2.19,3.13,70.0,0.16,0.03,0.02,0.13,0.47,1.56,0.16,0.0,2.34,,24.7,24.4,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,18.0,0.31,0.78,,1.56,1.57,0.94,0.0,0.16,0.0,0.16,0.31,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,,4.53,2.19,2.19,1.56,0.78,2.19,3.59,60.9,1.41,2.81,0.63,2.19,2.5,7.03,1.88,0.16,,42.0,3.75,13.9,19.8,9.38,1.88,42.0,3.13,1.25,40.0,1.25,40.0,19.8,116.3,59.2,1.25,1.56,0.31,1.72,2.81,17.7,1.41,,0.63,0.0,0.0,2.34,1.88,0.0,0.16,2.5,2.19,0.0,0.0,0.0,7.97,1.72,0.63,73.3,574,LOW_MIN,-0.3276492871553323,19.35483870967742,-0.15125816281692872,24.137931034482758,22.91149710504549,62.0,29.0,OK
Jay Stansfield,fulham,AM,AM_CLASSIC_10,,235,eng ENG,MF,21.0,2002.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,LOW_MIN,-0.789232557962694,14.0625,-0.6712046903801004,16.071428571428573,15.542763157894738,32.0,28.0,OK
