mf_post,feature,omega2,weight
DM,CrsPA,0.0,0.0
DM,Dispossessed,0.0,0.0
DM,TakeOn_Succ%,0.0,0.0
DM,TakeOn_Tackled%,0.0,0.0
DM,Miscontrols,0.0,0.0
DM,Blocks_Total,0.0,0.0
DM,Clearances,0.0,0.0
DM,Fls,0.0,0.0
CM,PrgR,0.3019676142856061,0.1881085413371634
CM,FinalThird_Pass,0.2613772396972183,0.16282306105738412
CM,Touches_Mid3rd,0.17031320454613413,0.10609537898103784
CM,Touches_AttPen,0.12098005112047491,0.07536364785676546
CM,PrgDist,0.11304888340150568,0.07042298428843784
CM,Pass_Med_Cmp,0.1017746700577835,0.06339979462676207
CM,Pass_Med_Att,0.08418878607676634,0.05244479539076814
CM,xAG,0.07874538044364487,0.049053865221069526
CM,Miscontrols,0.06684382507996163,0.04163987738531284
CM,Pass_Med_Cmp%,0.06031838849754785,0.03757490386154602
CM,Blocks_Total,0.04238954873294516,0.026406262800596648
CM,Pass_Cmp%,0.03563426429769149,0.022198107219278788
CM,Pass_Cmp,0.03372545827051237,0.021009030310095267
CM,Pass_Att,0.028748980343726548,0.017908969378001814
CM,Rec,0.026282427497903115,0.01637244812205006
CM,Pass_Short_Cmp%,0.025069996382062972,0.015617172927350645
CM,Pass_Short_Cmp,0.019997293851687088,0.012457169574395618
CM,Pass_Short_Att,0.013673016769116846,0.00851750690616939
CM,Touches_Att3rd,0.008176866344479266,0.005093719750072737
CM,Touches_Live,0.006014005938188288,0.0037463815028708617
CM,Touches,0.006014005938188288,0.0037463815028708617
CM,Pass_Long_Att,0.0,0.0
CM,Touches_DefPen,0.0,0.0
CM,Touches_Def3rd,0.0,0.0
CM,PrgP,0.0,0.0
CM,Pass_Cross,0.0,0.0
CM,Pass_TB,0.0,0.0
CM,Pass_Switch,0.0,0.0
CM,Pass_Long_Cmp,0.0,0.0
CM,Pass_Long_Cmp%,0.0,0.0
CM,KP,0.0,0.0
CM,CrsPA,0.0,0.0
CM,SCA90,0.0,0.0
CM,GCA90,0.0,0.0
CM,GCA,0.0,0.0
CM,SCA,0.0,0.0
CM,PrgC,0.0,0.0
CM,xA,0.0,0.0
CM,A-xAG,0.0,0.0
CM,PPA,0.0,0.0
CM,Carry_PenArea,0.0,0.0
CM,Carry_FinalThird,0.0,0.0
CM,Carry_PrgDist,0.0,0.0
CM,TakeOn_Succ,0.0,0.0
CM,TakeOn_Succ%,0.0,0.0
CM,TakeOn_Tackled,0.0,0.0
CM,TakeOn_Tackled%,0.0,0.0
CM,TakeOn_Att,0.0,0.0
CM,Dispossessed,0.0,0.0
CM,Interceptions,0.0,0.0
CM,Tackles_Interceptions,0.0,0.0
CM,Tackles_Won,0.0,0.0
CM,Clearances,0.0,0.0
CM,Recoveries,0.0,0.0
CM,Fls,0.0,0.0
CM,Fld,0.0,0.0
AM,Pass_TB,0.2516141409481351,0.42910351758895715
AM,Pass_Long_Att,0.12282339008788568,0.2094633812325206
AM,Pass_Switch,0.08352468978673776,0.1424432587849004
AM,Fld,0.050668538992985984,0.08641027976827893
AM,GCA90,0.03070418498330765,0.052363010009660586
AM,GCA,0.026458859992685144,0.04512301992039162
AM,Pass_Cross,0.019960884885711797,0.03404135350410505
AM,Pass_Long_Cmp,0.0006169680565687608,0.0010521791911856382
AM,Touches,0.0,0.0
AM,Touches_Mid3rd,0.0,0.0
AM,Touches_AttPen,0.0,0.0
AM,Touches_Att3rd,0.0,0.0
AM,Pass_Short_Cmp,0.0,0.0
