df_post,feature,omega2,weight
FB_WB,Clearances,0.03682843259231752,0.005987389201722829
FB_WB,Tackles_Interceptions,0.02487889079821626,0.004044690246935862
FB_WB,Dribblers_Tackled,0.017092390489727945,0.0027787985272871786
FB_WB,Touches_AttPen,0.014545185218399401,0.00236468616185066
FB_WB,Interceptions,0.013831264366587137,0.0022486203480718463
FB_WB,Aerials_Lost,0.01373567785649505,0.0022330803536145445
FB_WB,CrdR,0.0061076087522628384,0.0009929456161344927
FB_WB,Recoveries,0.003995318745346363,0.0006495396797939668
FB_WB,Dribblers_Tackled_%,0.0017959530744005071,0.00029197740135999224
FB_WB,Aerials_Won%,0.00012625818305018603,2.0526447329217104e-05
FB_WB,Touches_DefPen,0.0,0.0
FB_WB,Aerials_Won,0.0,0.0
FB_WB,Tackles_Won,0.0,0.0
FB_WB,GCA90,0.0,0.0
FB_WB,TakeOn_Att,0.0,0.0
FB_WB,Fls,0.0,0.0
FB_WB,TakeOn_Succ,0.0,0.0
FB_WB,CrdY,0.0,0.0
FB_WB,Fld,0.0,0.0
