Player,Squad,Pos,Min,Min_num,low_min_flag,fw_post,fw_role,fw_role_proba,runner_index_raw,runner_index_z_st,alt_role_any,alt_role_any_proba,p_fw_role_INSIDE_FORWARD,p_fw_role_ST_FINISHER,p_fw_role_ST_LINK,p_fw_role_ST_RUNNER,p_fw_role_WIDE_WINGER,p_any_INSIDE_FORWARD,p_any_ST_FINISHER,p_any_ST_LINK,p_any_ST_RUNNER,p_any_WIDE_WINGER
Iliman Ndiaye,everton,FW,2430,2430,False,NON_ST,INSIDE_FORWARD,0.9999999999989512,87.134,0.0,ST_FINISHER,0.49999999999975,0.9999999999989512,,,,4.885740186696707e-14,0.49999999999972555,0.49999999999975,2.593714047025868e-221,0.0,2.4428700933495747e-14
Jack Harrison,everton,FW,2076,2076,False,NON_ST,WIDE_WINGER,0.999999999999,75.991,0.0,ST_FINISHER,0.49999999999975,4.8250036943269325e-30,,,,0.999999999999,2.4125018471646724e-30,0.49999999999975,0.0,0.0,0.49999999999975
Jesper Lindstrøm,everton,FW,1239,1239,False,NON_ST,WIDE_WINGER,0.999999999999,65.89099999999999,0.0,ST_FINISHER,0.49999999999975,1.2710179852362734e-22,,,,0.999999999999,6.355089926184544e-23,0.49999999999975,0.0,0.0,0.49999999999975
Raúl Jiménez,fulham,FW,2494,2494,False,ST,ST_RUNNER,0.999999999999,49.290000000000006,0.3861312780181323,ST_FINISHER,0.49999999999975,,0.999999999999,1.483124089597584e-126,0.0,,0.49999999999974926,0.49999999999975,7.415620447991627e-127,0.0,7.1028766255078635e-16
Reiss Nelson,fulham,FW,487,487,True,NON_ST,INSIDE_FORWARD,0.9999999997384204,182.754,0.0,ST_FINISHER,0.49999999999975,0.9999999997384204,,,,2.6057969844486643e-10,0.49999999986946014,0.49999999999975,0.0,0.0,1.3028984922249836e-10
Rodrigo Muniz,fulham,FW,964,964,False,ST,ST_FINISHER,0.999999999999,26.263,-1.2738877394597983,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,1.6565120132237547e-22
Ali Al Hamadi,ipswich town,FW,134,134,True,NON_ST,WIDE_WINGER,0.9996604527864323,84.26699999999998,0.0,ST_FINISHER,0.49999999999975,0.0003395472125677055,,,,0.9996604527864323,0.00016977360628393762,0.49999999999975,1.4780803032147695e-116,0.0,0.499830226393466
Chiedozie Ogbene,ipswich town,FW,238,238,True,NON_ST,INSIDE_FORWARD,0.999999999999,58.537000000000006,0.0,ST_FINISHER,0.49999999999975,0.999999999999,,,,1.802716620939776e-21,0.49999999999975,0.49999999999975,1.0469789210741568e-122,0.0,4.80934059189964e-22
George Hirst,ipswich town,FW,661,661,True,ST,ST_FINISHER,0.999999999999,37.27100000000001,-0.4803197825224175,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,1.3700506710197985e-19
Liam Delap,ipswich town,FW,2593,2593,False,ST,ST_RUNNER,0.999999999999,57.7305,0.9946078714529027,ST_FINISHER,0.49999999999975,,0.999999999999,3.0834894589668483e-75,0.0,,0.4999999999997497,0.49999999999975,1.5417447294841949e-75,0.0,2.6136299515093944e-16
Abdul Fatawu Issahaku,leicester city,FW,579,579,True,NON_ST,WIDE_WINGER,0.999999999999,159.93699999999995,0.0,ST_FINISHER,0.49999999999975,1.009114784619419e-29,,,,0.999999999999,5.045573923099617e-30,0.49999999999975,0.0,0.0,0.49999999999975
Bobby De Cordova-Reid,leicester city,FW,744,744,False,NON_ST,INSIDE_FORWARD,0.999999999999,52.252,0.0,ST_FINISHER,0.49999999999975,0.999999999999,,,,1.8964109416135234e-25,0.49999999999975,0.49999999999975,3.539017952952519e-181,0.0,9.482054708072357e-26
Jake Evans,leicester city,FW,24,24,True,ST,ST_FINISHER,0.999999999999,4.995,-2.807100249283945,INSIDE_FORWARD,0.4999699890528642,,0.999999999999,0.0,0.0,,0.4999699890528642,0.49999999999975,0.0,0.0,3.0010946885764752e-05
Jamie Vardy,leicester city,FW,2823,2823,False,ST,ST_FINISHER,0.999999999999,28.998500000000003,-1.0766852370795108,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,1.373440756607739e-21
Kasey McAteer,leicester city,FW,852,852,False,NON_ST,INSIDE_FORWARD,0.9999999999988752,68.035,0.0,ST_FINISHER,0.49999999999975,0.9999999999988752,,,,1.2480940268789561e-13,0.4999999999996876,0.49999999999975,5.187643050337589e-145,0.0,6.240470134397901e-14
Odsonne Édouard,leicester city,FW,29,29,True,NON_ST,INSIDE_FORWARD,0.999999999999,35.024,0.0,ST_FINISHER,0.49999999999975,0.999999999999,,,,3.731151345077113e-23,0.49999999999975,0.49999999999975,0.0,0.0,1.0759753886508149e-23
Stephy Mavididi,leicester city,FW,1615,1615,False,NON_ST,WIDE_WINGER,0.9999999999989999,129.45499999999998,0.0,ST_FINISHER,0.49999999999975,1.6155104723536585e-16,,,,0.9999999999989999,8.07755236177233e-17,0.49999999999975,0.0,0.0,0.4999999999997499
Will Alves,leicester city,FW,1,1,True,ST,ST_FINISHER,0.999999999999,5.5,-2.7706947425385438,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,1.0833328626094809e-17
