Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,fb_role,fb_role_proba,fb_role_cluster,p_fb_role_FB_WIDE,p_fb_role_FB_INVERTED,p_fb_role_FB_STAY_HOME
Pedro Porro,tottenham,DF,2610,2610,False,FB_WB,FB_WIDE,0.999999999999,3,0.999999999999,1.0034495765589102e-30,8.512705402960376e-31
Sergio Reguilón,tottenham,DF,196,196,True,FB_WB,FB_WIDE,0.9999491541722961,3,0.9999491541722961,5.084564567062711e-05,1.8103331754362792e-10
Aaron Cresswell,west ham,DF,824,824,False,FB_WB,FB_INVERTED,0.9999157806152026,1,8.421938379706725e-05,0.9999157806152026,2.984528679139266e-16
Aaron Wan-Bissaka,west ham,DF,3154,3154,False,FB_WB,FB_STAY_HOME,0.9938473609521185,0,0.0006829764237548827,0.005469662623126585,0.9938473609521185
Emerson Palmieri,west ham,DF,2113,2113,False,FB_WB,FB_STAY_HOME,0.9998915810650442,0,1.2797934646782998e-05,9.56209993089425e-05,0.9998915810650442
Vladimír Coufal,west ham,DF,1067,1067,False,FB_WB,FB_STAY_HOME,0.999731902637795,0,0.00026626408769244494,1.83327351253928e-06,0.999731902637795
Matt Doherty,wolves,DF,2109,2109,False,FB_WB,FB_INVERTED,0.9999999999989941,1,5.897745259409091e-15,0.9999999999989941,4.063178402261515e-37
Nélson Semedo,wolves,DF,2886,2886,False,FB_WB,FB_STAY_HOME,0.9999581752192633,0,1.3820136845393929e-05,2.800464289131778e-05,0.9999581752192633
Pedro Lima,wolves,DF,70,70,True,FB_WB,FB_WIDE,0.999999999999,3,0.999999999999,9.345896613755165e-121,2.6797975182625765e-59
Rayan Aït-Nouri,wolves,DF,3109,3109,False,FB_WB,FB_STAY_HOME,0.9993957513523645,0,6.0491095797179726e-05,0.0005437575508382768,0.9993957513523645
