Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,cb_role,cb_role_proba,cb_role_cluster,p_cb_role_CB_DUEL,p_cb_role_CB_HYBRID,p_cb_role_CB_BUILDER
Nikola Milenković,nott'ham forest,DF,3330,3330,False,CB,CB_DUEL,0.9999998144166921,0,0.9999998144166921,1.8558230792225887e-07,8.708882750136587e-49
Willy Boly,nott'ham forest,DF,150,150,True,CB,CB_DUEL,0.9999999999753972,0,0.9999999999753972,2.3602822415806018e-11,6.138335174943967e-42
Armel Bella Kotchap,southampton,DF,331,331,True,CB,CB_DUEL,0.999663533554308,0,0.999663533554308,0.00033646644469196256,2.4152034445467587e-42
Jack Stephens,southampton,DF,1389,1389,False,CB,CB_HYBRID,0.9995603809824752,1,0.00043961901652473436,0.9995603809824752,8.911189077960416e-32
Jan Bednarek,southampton,DF,2531,2531,False,CB,CB_DUEL,0.9999993067454601,0,0.9999993067454601,6.932535399206564e-07,1.9668547012004623e-27
Joachim Kayi Sanda,southampton,DF,14,14,True,CB,CB_DUEL,0.9999999621696013,0,0.9999999621696013,2.06976719538885e-40,3.7829398708410396e-08
Nathan Wood-Gordon,southampton,DF,773,773,False,CB,CB_DUEL,0.9988615543410225,0,0.9988615543410225,0.001138445657977422,4.3271924544717267e-47
Ronnie Edwards,southampton,DF,12,12,True,CB,CB_HYBRID,0.999999999999,1,1.708222720021042e-35,0.999999999999,4.1969101455648305e-217
Taylor Harwood-Bellis,southampton,DF,2825,2825,False,CB,CB_HYBRID,0.9999808701896363,1,4.841539565175182e-09,0.9999808701896363,1.912496782407722e-05
Alfie Dorrington,tottenham,DF,14,14,True,CB,CB_HYBRID,0.9848283941395843,1,0.015171605859415634,0.9848283941395843,1.4055057793276615e-71
Ben Davies,tottenham,DF,1331,1331,False,CB,CB_HYBRID,0.9925583594797376,1,0.007441640519262319,0.9925583594797376,8.520446227620616e-18
Cristian Romero,tottenham,DF,1416,1416,False,CB,CB_BUILDER,0.9999723662430472,2,2.1045321512099937e-21,2.7633755952789002e-05,0.9999723662430472
Kevin Danso,tottenham,DF,842,842,False,CB,CB_DUEL,0.9999497009083129,0,0.9999497009083129,5.029909068704569e-05,1.2026361558282482e-29
Micky van de Ven,tottenham,DF,1015,1015,False,CB,CB_HYBRID,0.9999999746464122,1,2.535067548485826e-08,0.9999999746464122,1.9123839059739426e-12
