Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,df_post_proba,p_CB,p_FB_WB
Manuel Akanji,manchester city,DF,2014,2014,False,FB_WB,0.9999999999989999,3.2692913358730574e-23,0.9999999999989999
Nathan Aké,manchester city,DF,678,678,True,FB_WB,0.8638028041101843,0.1361971958888742,0.8638028041101843
Nico O’Reilly,manchester city,DF,528,528,True,FB_WB,0.9999999999989999,4.236822749302647e-41,0.9999999999989999
Rúben Dias,manchester city,DF,2271,2271,False,FB_WB,0.9999998420746039,1.5792439595274351e-07,0.9999998420746039
Vitor Reis,manchester city,DF,1,1,True,CB,0.8514062420657473,0.8514062420657473,0.14859375793331472
Ayden Heaven,manchester utd,DF,170,170,True,CB,0.9999999999989999,0.9999999999989999,2.0185496492595213e-22
Diogo Dalot,manchester utd,DF,2814,2814,False,FB_WB,0.9999999999989999,1.5727852057697953e-41,0.9999999999989999
Harry Amass,manchester utd,DF,346,346,True,FB_WB,0.9999999999989999,5.357528690445708e-59,0.9999999999989999
Harry Maguire,manchester utd,DF,1758,1758,False,CB,0.999995550706133,0.999995550706133,4.449292866911366e-06
Jonny Evans,manchester utd,DF,315,315,True,CB,0.9999999993606964,0.9999999993606964,6.383034466353183e-10
Leny Yoro,manchester utd,DF,1165,1165,False,CB,0.9924519487766675,0.9924519487766675,0.00754805122233746
Lisandro Martínez,manchester utd,DF,1751,1751,False,CB,0.9942159132363114,0.9942159132363114,0.005784086762692481
Luke Shaw,manchester utd,DF,349,349,True,FB_WB,0.9999999999989999,1.4821210214439532e-51,0.9999999999989999
Matthijs de Ligt,manchester utd,DF,2123,2123,False,CB,0.9999982501480182,0.9999982501480182,1.7498509817569702e-06
Noussair Mazraoui,manchester utd,DF,2838,2838,False,FB_WB,0.9999974817136151,2.5182853847458e-06,0.9999974817136151
Patrick Dorgu,manchester utd,DF,842,842,True,FB_WB,0.9999999999989999,5.35724797702452e-142,0.9999999999989999
Tyler Fredricson,manchester utd,DF,165,165,True,CB,0.9999889804234093,0.9999889804234093,1.101957559050379e-05
Tyrell Malacia,manchester utd,DF,100,100,True,FB_WB,0.9999999999989924,7.46725051695748e-15,0.9999999999989924
Victor Lindelöf,manchester utd,DF,704,704,True,CB,0.9999967890368888,0.9999967890368888,3.210962110985912e-06
Dan Burn,newcastle utd,DF,3330,3330,False,CB,0.9999999998428158,0.9999999998428158,1.5618415363940783e-10
Emil Krafth,newcastle utd,DF,342,342,True,CB,0.9932325854153207,0.9932325854153207,0.006767414583683941
Fabian Schär,newcastle utd,DF,2934,2934,False,CB,0.9999462767207018,0.9999462767207018,5.372327829820248e-05
Kieran Trippier,newcastle utd,DF,1309,1309,False,FB_WB,0.9999999999989999,4.702932878885319e-238,0.9999999999989999
Lewis Hall,newcastle utd,DF,2189,2189,False,FB_WB,0.9999999999989999,2.563198901581854e-137,0.9999999999989999
Lloyd Kelly,newcastle utd,DF,303,303,True,CB,0.9999957837562488,0.9999957837562488,4.216242751100145e-06
Matt Targett,newcastle utd,DF,21,21,True,FB_WB,0.9999999999989999,6.3290534626869025e-196,0.9999999999989999
Sven Botman,newcastle utd,DF,412,412,True,CB,0.9999999885265861,0.9999999885265861,1.1472413756938502e-08
Valentino Livramento,newcastle utd,DF,2840,2840,False,FB_WB,0.9999999999989999,1.6047386054321556e-26,0.9999999999989999
Harry Toffolo,nott'ham forest,DF,137,137,True,FB_WB,0.9999999999989999,6.039901232192662e-60,0.9999999999989999
Morato,nott'ham forest,DF,907,907,False,CB,0.9999999999544033,0.9999999999544033,4.459668332628449e-11
Murillo,nott'ham forest,DF,3188,3188,False,CB,0.9999999999989995,0.9999999999989995,5.128311310158089e-16
Neco Williams,nott'ham forest,DF,2594,2594,False,FB_WB,0.9999999999989999,7.956097125523197e-33,0.9999999999989999
Nikola Milenković,nott'ham forest,DF,3330,3330,False,CB,0.999999393650436,0.999999393650436,6.063485638452841e-07
Ola Aina,nott'ham forest,DF,2995,2995,False,FB_WB,0.9999999999989999,3.693923207358506e-24,0.9999999999989999
Willy Boly,nott'ham forest,DF,150,150,True,CB,0.9999999999989999,0.9999999999989999,3.432422693739541e-19
Armel Bella Kotchap,southampton,DF,331,331,True,CB,0.9999999955257222,0.9999999955257222,4.473277831189171e-09
Charlie Taylor,southampton,DF,356,356,True,FB_WB,0.9999999999989999,2.368199043648106e-21,0.9999999999989999
Jack Stephens,southampton,DF,1389,1389,False,CB,0.9996013999093211,0.9996013999093211,0.0003986000896791806
James Bree,southampton,DF,1075,1075,False,FB_WB,0.9999999999989999,4.879609770838622e-43,0.9999999999989999
Jan Bednarek,southampton,DF,2531,2531,False,CB,0.9999999999989999,0.9999999999989999,1.0018572860218098e-20
Joachim Kayi Sanda,southampton,DF,14,14,True,CB,0.9999999999989255,0.9999999999989255,7.446544947095371e-14
Kyle Walker-Peters,southampton,DF,2918,2918,False,FB_WB,0.9999999999989999,1.0820899943740337e-30,0.9999999999989999
Nathan Wood-Gordon,southampton,DF,773,773,True,CB,0.9999997659451172,0.9999997659451172,2.3405388270400054e-07
Ronnie Edwards,southampton,DF,12,12,True,CB,0.9999999999989999,0.9999999999989999,3.3560621844432926e-86
Taylor Harwood-Bellis,southampton,DF,2825,2825,False,CB,0.9999999988365967,0.9999999988365967,1.162403174154901e-09
Welington,southampton,DF,482,482,True,FB_WB,0.9999999999989999,1.009354927794799e-58,0.9999999999989999
Alfie Dorrington,tottenham,DF,14,14,True,CB,0.9585553731468582,0.9585553731468582,0.04144462685216485
Ben Davies,tottenham,DF,1331,1331,False,CB,0.9999999999989999,0.9999999999989999,3.439401675992834e-20
Cristian Romero,tottenham,DF,1416,1416,False,CB,0.9999999184537812,0.9999999184537812,8.154521875129793e-08
Destiny Udogie,tottenham,DF,1924,1924,False,FB_WB,0.9999999999989999,3.2806669123818983e-23,0.9999999999989999
Djed Spence,tottenham,DF,1792,1792,False,FB_WB,0.9999999999989999,2.5949078747838327e-22,0.9999999999989999
Kevin Danso,tottenham,DF,842,842,True,CB,0.9999999999989997,0.9999999999989997,1.5316072636227113e-16
Micky van de Ven,tottenham,DF,1015,1015,False,CB,0.9999998524861435,0.9999998524861435,1.4751285648120126e-07
Pedro Porro,tottenham,DF,2610,2610,False,FB_WB,0.9999999999989999,0.0,0.9999999999989999
Radu Drăgușin,tottenham,DF,1252,1252,False,CB,0.999999999726417,0.999999999726417,2.725830102273291e-10
Sergio Reguilón,tottenham,DF,196,196,True,FB_WB,0.9999999999989999,5.254492900140448e-194,0.9999999999989999
Aaron Cresswell,west ham,DF,824,824,True,FB_WB,0.9999999999989999,1.2162345008121236e-93,0.9999999999989999
Aaron Wan-Bissaka,west ham,DF,3154,3154,False,FB_WB,0.9999999999989999,5.526649696761339e-45,0.9999999999989999
Emerson Palmieri,west ham,DF,2113,2113,False,FB_WB,0.9999999999989999,3.4202333710704835e-54,0.9999999999989999
Jean-Clair Todibo,west ham,DF,1825,1825,False,CB,0.9999985399710137,0.9999985399710137,1.4600279863124991e-06
Kaelan Casey,west ham,DF,1,1,True,CB,0.8961451368571931,0.8961451368571931,0.10385486314185484
Konstantinos Mavropanos,west ham,DF,2045,2045,False,CB,0.999999999996993,0.999999999996993,2.0069855686304726e-12
Max Kilman,west ham,DF,3348,3348,False,CB,0.9999999999989995,0.9999999999989995,3.5124777401538266e-16
Vladimír Coufal,west ham,DF,1067,1067,False,FB_WB,0.9999999999989999,5.492406752884872e-38,0.9999999999989999
Alfie Pond,wolves,DF,1,1,True,CB,0.9585553731468582,0.9585553731468582,0.04144462685216485
Craig Dawson,wolves,DF,971,971,False,CB,0.9999999999989568,0.9999999999989568,4.299560118249308e-14
Emmanuel Agbadou,wolves,DF,1410,1410,False,CB,0.9999999999989966,0.9999999999989966,3.3414532452165314e-15
Matt Doherty,wolves,DF,2109,2109,False,FB_WB,0.9993927781993025,0.0006072217996979408,0.9993927781993025
Nasser Djiga,wolves,DF,66,66,True,CB,0.9923650838446535,0.9923650838446535,0.007634916154351565
Nélson Semedo,wolves,DF,2886,2886,False,FB_WB,0.9999999999989999,7.097647565258917e-32,0.9999999999989999
Pedro Lima,wolves,DF,70,70,True,FB_WB,0.9999999999989999,0.0,0.9999999999989999
Rayan Aït-Nouri,wolves,DF,3109,3109,False,FB_WB,0.9999999999989999,8.022651426969451e-66,0.9999999999989999
Santiago Bueno,wolves,DF,1687,1687,False,CB,0.9999998336847956,0.9999998336847956,1.663142042285914e-07
Toti Gomes,wolves,DF,2614,2614,False,CB,0.9999952416932697,0.9999952416932697,4.75830573008516e-06
Yerson Mosquera,wolves,DF,441,441,True,CB,0.9999993582496877,0.9999993582496877,6.417493122301005e-07
